Channel_Name,Output,Type,Channel_Label,Group
Window D Velocity 0.48 m Above Sill,Window D,Velocity,0.48 m Above Sill,Window_D_Velocity
Window D Temperature 0.24 m Above Sill,Window D,Temperature,0.24 m Above Sill,Window_D_Temperature
Window D Velocity 0.24 m Above Sill,Window D,Velocity,0.24 m Above Sill,Window_D_Velocity
Bedroom 2 Pressure 0.3 m Below Ceiling,Bedroom 2,Pressure,0.3 m Below Ceiling,Bedroom_2_Pressure
Bedroom 2 Pressure 1.2 m Below Ceiling,Bedroom 2,Pressure,1.2 m Below Ceiling,Bedroom_2_Pressure
Bedroom 2 Pressure 2.1 m Below Ceiling,Bedroom 2,Pressure,2.1 m Below Ceiling,Bedroom_2_Pressure
Bedroom 2 Temperature 0.02 m Below Ceiling,Bedroom 2,Temperature,0.02 m Below Ceiling,Bedroom_2_Temperature
Bedroom 2 Temperature 0.3 m Below Ceiling,Bedroom 2,Temperature,0.3 m Below Ceiling,Bedroom_2_Temperature
Bedroom 2 Temperature 0.6 m Below Ceiling,Bedroom 2,Temperature,0.6 m Below Ceiling,Bedroom_2_Temperature
Bedroom 2 Temperature 0.9 m Below Ceiling,Bedroom 2,Temperature,0.9 m Below Ceiling,Bedroom_2_Temperature
Bedroom 2 Temperature 1.2 m Below Ceiling,Bedroom 2,Temperature,1.2 m Below Ceiling,Bedroom_2_Temperature
Bedroom 2 Temperature 1.5 m Below Ceiling,Bedroom 2,Temperature,1.5 m Below Ceiling,Bedroom_2_Temperature
Bedroom 2 Temperature 1.8 m Below Ceiling,Bedroom 2,Temperature,1.8 m Below Ceiling,Bedroom_2_Temperature
Bedroom 2 Temperature 2.1 m Below Ceiling,Bedroom 2,Temperature,2.1 m Below Ceiling,Bedroom_2_Temperature
Window C Temperature 1.2 m Above Sill,Window C,Temperature,1.2 m Above Sill,Window_C_Temperature
Window C Velocity 1.2 m Above Sill,Window C,Velocity,1.2 m Above Sill,Window_C_Velocity
Window C Temperature 0.96 m Above Sill,Window C,Temperature,0.96 m Above Sill,Window_C_Temperature
Window C Velocity 0.96 m Above Sill,Window C,Velocity,0.96 m Above Sill,Window_C_Velocity
Window C Temperature 0.72 m Above Sill,Window C,Temperature,0.72 m Above Sill,Window_C_Temperature
Window C Velocity 0.72 m Above Sill,Window C,Velocity,0.72 m Above Sill,Window_C_Velocity
Window C Temperature 0.48 m Above Sill,Window C,Temperature,0.48 m Above Sill,Window_C_Temperature
Window C Velocity 0.48 m Above Sill,Window C,Velocity,0.48 m Above Sill,Window_C_Velocity
Window C Temperature 0.24 m Above Sill,Window C,Temperature,0.24 m Above Sill,Window_C_Temperature
